comuni,CODISTAT_comune,popolazione,societa_di_regolamentazione_dei_rifiuti,tipo_ubicazione,altri_rifiuti_differenziati,ingombranti,cartone,frazione_organica_umida,legno,metallo,plastica,rifiuti_apparecchiature_elettriche_ed_elettroniche,raccolta_selettiva,tessili,vetro,costruzione_e_demolizione,pulizia_stradale,riciclo_annuale_tonnellate,rifiuti_totali_annuale_tonnellate,raccolta_comunale,extra_discarica_municipale
Acate,088001,10581,RAGUSA PROVINCIA,COSTIERO,0,24,407,1469,33,0,323,9,2,25,275,0,107,621,3295,3313,18
Aci Bonaccorsi,087001,3525,CATANIA AREA METROPOLITANA,INTERNO,0,104,185,821,46,0,167,6,1,5,157,24,37,357,1909,2123,213
Aci Castello,087002,17975,CATANIA AREA METROPOLITANA,COSTIERO,0,38,721,2815,149,52,593,32,5,26,668,53,65,2058,7275,7277,3
Aci Catena,087003,28124,CATANIA AREA METROPOLITANA,INTERNO,4,157,846,2675,239,15,604,25,2,28,665,156,43,5077,10536,10572,37
Aci Sant'Antonio,087005,18058,CATANIA AREA METROPOLITANA,INTERNO,10,106,753,2182,140,3,605,18,0,13,360,82,26,3368,7665,7665,0
Acireale,087004,50735,CATANIA PROVINCIA NORD,COSTIERO,3,77,2066,6831,334,85,1683,36,4,122,1505,190,1139,9633,23708,25142,1434
Acquaviva Platani,085001,891,CALTANISSETTA PROVINCIA NORD,INTERNO,3,43,34,230,0,0,29,0,0,0,31,0,0,168,538,538,0
Acquedolci,083107,5494,MESSINA PROVINCIA,COSTIERO,0,56,250,682,1,0,204,9,2,10,264,0,0,322,1799,1804,5
Adrano,087006,34110,CATANIA PROVINCIA NORD,INTERNO,9,86,1241,3554,181,13,969,55,0,11,822,71,211,3186,10409,10411,2
Agira,086001,7726,ENNA PROVINCIA,INTERNO,0,130,354,913,0,0,222,17,2,6,276,0,0,829,2749,2766,17
Agrigento,084001,55849,AGRIGENTO PROVINCIA EST,COSTIERO,2457,2133,3545,8097,0,32,282,68,4,15,2091,0,589,8054,27368,27393,25
Aidone,086002,4284,ENNA PROVINCIA,INTERNO,0,37,110,422,0,0,103,31,0,6,127,0,0,448,1284,1284,0
Alcamo,081001,44719,TRAPANI PROVINCIA NORD,COSTIERO,15,257,2106,6589,720,215,1233,147,3,141,1145,722,239,5983,19516,19653,137
Alcara li Fusi,083001,1742,MESSINA PROVINCIA,INTERNO,0,6,46,141,0,0,41,6,0,7,77,0,0,85,408,409,2
Alessandria della Rocca,084002,2521,AGRIGENTO PROVINCIA OVEST,INTERNO,0,8,69,309,0,5,38,2,0,0,63,0,0,295,788,788,0
Alia,082001,3367,PALERMO PROVINCIA EST,INTERNO,233,22,84,281,0,0,34,2,0,0,53,0,0,312,1023,1024,1
Alimena,082002,1773,PALERMO PROVINCIA EST,INTERNO,24,15,74,218,0,3,23,3,0,0,75,0,0,195,631,632,1
Aliminusa,082003,1089,PALERMO PROVINCIA EST,INTERNO,0,2,28,130,1,0,23,1,0,2,17,0,0,98,301,301,0
Altavilla Milicia,082004,8500,PALERMO PROVINCIA EST,COSTIERO,41,197,212,778,0,0,124,21,2,13,170,0,0,1604,3162,3162,0
Altofonte,082005,9903,PALERMO AREA METROPOLITANA,INTERNO,1,29,233,695,2,27,180,16,2,5,143,1,0,534,1868,1869,1
Alì,083002,685,MESSINA AREA METROPOLITANA,INTERNO,12,4,12,43,0,0,0,0,0,0,15,0,0,37,124,124,0
Alì Terme,083003,2369,MESSINA AREA METROPOLITANA,COSTIERO,100,49,111,340,0,0,0,0,1,6,82,0,0,257,946,950,4
Antillo,083004,840,MESSINA AREA METROPOLITANA,INTERNO,24,10,19,71,0,0,0,0,0,8,19,0,0,47,197,197,0
Aragona,084003,8860,AGRIGENTO PROVINCIA EST,INTERNO,345,62,432,1238,0,0,0,12,1,13,287,0,0,973,3364,3364,0
Assoro,086003,4868,ENNA PROVINCIA,INTERNO,0,37,180,407,0,0,106,5,0,5,211,0,0,432,1384,1389,4
Augusta,089001,34715,SIRACUSA PROVINCIA,COSTIERO,959,184,1186,3176,402,17,83,60,5,65,846,176,0,14324,21482,21507,25
Avola,089002,30474,SIRACUSA PROVINCIA,COSTIERO,39,375,1883,4337,762,68,1651,212,8,43,793,472,181,4604,15426,15426,0
Bagheria,082006,53221,PALERMO AREA METROPOLITANA,COSTIERO,101,418,3007,11944,681,0,1432,92,6,17,1440,5,0,6884,26025,26025,0
Balestrate,082007,6239,PALERMO AREA METROPOLITANA,COSTIERO,108,18,346,1168,20,0,301,18,2,48,335,0,33,430,2827,2827,0
Barcellona Pozzo di Gotto,083005,40029,MESSINA AREA METROPOLITANA,COSTIERO,21,275,1767,2902,359,129,861,220,17,64,843,0,632,8772,16863,16898,35
